HotspotID,LabName,Addresses
124,"National Centre for Disease Control, New Delhi","22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054"
125,"Army Hospital Research & Referral, New Delhi","Army Hospital Research & Referral, Military Hospital Road, Near Subroto Park, Dhaula Kuan, New Delhi, Delhi 110010"
126,"Command Hospital, Udhampur","Command Hospital, Raghunathpura, Udhampur, Jammu and Kashmir 182101"
127,"SRL Limited, Gurugram","SRL Limited, GP 26 Sector 18, Gurugram, Haryana, India  122015"
128,"Command Hospital (Air Force), Bengaluru","Command Hospital (Air Force) , Cambridge Rd, Cambridge Layout, Jogupalya, Bengaluru, Karnataka 560007"
129,"ICMR-National Institute of Virology, Field Unit, Bangalore","National Institute of Virology, Field Unit, Rajiv Gandhi Institute of Chest Disease Premises, Near NIMHANS, Someshwaranagar, 1stMain, Dharmaram College Post, Bangalore 560029"
130,"ICMR-National Institute of Virology, Pune","National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021"
132,"Rajiv Gandhi Center for Biotechnology, Thiruvananthapuram","Rajiv Gandhi Center for Biotechnology, Melarannoor Road Behind Central Jail Poojapura, Thycaud, Thiruvananthapuram, Kerala 695014"
133,"Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011"
134,"Kasturba Hospital for Infectious Diseases, Mumbai","Kasturba Hospital for Infectious Diseases, Mumbai, Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034"
135,"Armed Forces Medical College, Pune","Armed Forces Medical College, Southern Command, Solapur Road, Wanowrie, Near Race Course, Pune, Maharashtra 411040"
136,"BJ Medical College, Pune","BJ Medical College, Jai Prakash Narayan Road, Railway Station Rd, near Pune, Maharashtra 411001"
137,"Gandhi Medical College, Bhopal","Gandhi Medical College, Sultania Rd, near Hamidia Hospital, Royal Market, Bhopal, Madhya Pradesh 462001"
138,"ICMR-National Institute of Virology Field Unit, Mumbai","National Institute of Virology Field Unit, Mumbai, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012"
139,"JLN Medical College, Ajmer","JLN Medical College, Kala Bagh, Ajmer, Rajasthan 305001"
140,"Command Hospital, Lucknow","Command Hospital, Lucknow, Uttar Pradesh 226002"
141,"Govt. Medical College, Kota","Govt. Medical College, Rangbari Rd, Sector - A, Rangbari, Kota, Rajasthan 324010"
142,"Lala Lajpat Rai Memorial Medical College, Meerut","Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002"
143,"Sanjay Gandhi Post Graduate Institute, Lucknow","New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014"
144,"Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor, Kedar Builiding, Opp. Krupa petrol Pump Parimal garden, Gujarat 380006"
145,"Dr. Dang’s Lab, New Delhi","Dr. Dang’s Lab, C2/1 SDA Aurbindo Marg, New Delhi 110016"
146,"Laboratory Services Indraprastha Apollo Hospitals, New Delhi","Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi 110076"
147,"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad  500096"
